repo_full_name,agentic_intervention_rate,human_intervention_rate,n_agentic_prs,n_human_prs
microsoft/vscode-jupyter,0.09090909090909091,0.0,11,2
microsoft/vscode-mssql,0.0,0.0,28,7
microsoft/vscode-pull-request-github,0.0,0.0,53,1
microsoft/vscode-python,0.0,0.0,9,4
microsoft/vscode-vsce,0.0,0.0,3,1
microsoft/vstest,0.0,0.0,14,4
midudev/codi.link,0.5,0.0,2,1
milkshakesoftware/PreMailer.Net,0.0,0.0,8,2
mistralai/mistral-common,0.0,0.0,3,2
mitsuhiko/insta,0.0,0.0,10,6
miurla/morphic,0.0,0.0,5,3
mlflow/mlflow,0.01098901098901099,0.0,91,60
modelcontextprotocol/inspector,0.0,0.0,6,2
modelcontextprotocol/modelcontextprotocol,0.0,0.0,3,1
modelcontextprotocol/python-sdk,0.0,0.0,1,1
modular/modular,0.0,0.0,5,4
moonbitlang/core,0.0,0.05263157894736842,41,19
morphik-org/morphik-core,0.5,0.0,2,1
mrwadams/stride-gpt,0.0,0.0,6,3
mtrojnar/osslsigncode,0.0,0.0,9,6
mvisonneau/gitlab-ci-pipelines-exporter,0.0,0.0,4,1
n3d1117/chatgpt-telegram-bot,0.0,0.0,5,4
navidrome/navidrome,0.0,0.0,7,2
near/nearcore,0.022222222222222223,0.0,45,28
neondatabase/neon,0.0,0.0,14,10
netket/netket,0.0,0.0,9,6
netz98/n98-magerun2,0.0,0.0,2,1
nkdAgility/azure-devops-migration-tools,0.0,0.0,16,6
noodlehaus/dispatch,0.0,0.0,1,1
novuhq/novu,0.0125,0.0,80,42
nrwl/nx,0.0,0.0,11,6
nrwl/nx-console,0.0,0.0,8,4
obi1kenobi/cargo-semver-checks,0.0,0.0,25,20
objectionary/eo,0.0,0.0,6,3
odigos-io/odigos,0.0,0.0,7,2
okteto/okteto,0.0,0.0,2,2
onlook-dev/onlook,0.011560693641618497,0.061068702290076333,173,131
onnx/onnx,0.46153846153846156,0.0,13,3
onyx-dot-app/onyx,0.0,0.0,15,11
open-ani/animeko,0.0,0.0,2,2
open-lambda/open-lambda,0.0,0.0,2,1
openai/codex,0.0,0.0,32,5
openai/openai-agents-js,0.0,0.0,20,10
openai/openai-agents-python,0.0,0.0,17,8
openai/openai-realtime-agents,0.0,0.0,4,1
opencv/opencv,0.0,0.0,2,1
openops-cloud/openops,1.0,1.0,16,10
operator-framework/operator-sdk,0.0,0.0,1,1
optiscaler/OptiScaler,0.0,0.0,3,2
oraios/serena,0.0,0.0,6,2
osmosis-labs/osmosis,0.0,0.0,2,2
oss-apps/split-pro,0.0,0.0,3,1
oven-sh/bun,0.0,0.0,131,87
pardeike/Harmony,0.0,0.0,6,4
pdfme/pdfme,0.03076923076923077,0.0,65,7
peass-ng/PEASS-ng,0.0,0.0,5,4
pingdotgg/uploadthing,0.0,0.0,1,1
pixijs/pixijs,0.0,0.0,5,2
plantuml/plantuml,0.0,0.0,2,1
pomerium/pomerium,0.0,0.0,3,1
prebid/Prebid.js,0.0,0.014925373134328358,126,67
primer/react,0.0,0.0,30,15
primer/view_components,0.0,0.0,9,1
promptfoo/promptfoo,0.07339449541284404,0.06060606060606061,109,66
propelorm/Propel2,0.0,0.0,3,3
prosekit/prosekit,0.0,0.0,6,2
pterm/pterm,0.0,0.0,5,3
pulumi/pulumi,0.0,0.0,2,1
pushpalroy/JetLime,0.0,0.0,1,1
pydata/pandas-datareader,0.0,0.0,1,1
pytorch/pytorch,0.0,0.0,7,3
qltysh/qlty,0.0,0.0,1,1
quarylabs/sqruff,0.0,0.0,15,4
rainbow-me/rainbowkit,0.2702702702702703,0.2,37,15
ray-project/ray,0.0,0.0,2,1
raycast/extensions,0.0,0.0,4,1
recallnet/js-recall,0.0,0.0,5,1
redis/rueidis,0.0,0.0,1,1
reflex-dev/reflex,0.0,0.0,7,3
remotion-dev/remotion,0.0,0.0,57,40
reneschulte/WriteableBitmapEx,0.0,0.0,3,1
reown-com/appkit,0.1836734693877551,0.23076923076923078,49,26
riganti/dotvvm,0.0,0.0,2,1
rilldata/rill,0.0,1.0,1,1
rishikanthc/Scriberr,0.0,0.0,2,1
risingwavelabs/risingwave,0.0,0.0,13,3
roblox-ts/roblox-ts,0.0,0.0,1,1
roboflow/inference,0.0,0.0,16,9
root-gg/plik,0.0,0.0,3,2
rqlite/rqlite,0.0,0.0,14,7
rsyslog/rsyslog,0.03278688524590164,0.047619047619047616,61,21
ryoppippi/ccusage,0.0,0.0,2,1
sakaiproject/sakai,0.0,0.0,4,1
sam-goodwin/alchemy,0.0,0.0,26,17
sandrohanea/whisper.net,0.125,0.0,8,3
satmihir/fair,0.0,0.0,7,1
saturday06/VRM-Addon-for-Blender,0.0,0.0,22,5
schemahero/schemahero,0.0,0.0,5,2
seasonedcc/composable-functions,0.0,0.0,4,2
seasonedcc/remix-forms,0.0,0.0,68,40
sebastianwessel/quickjs,0.0,0.0,6,2
secretlint/secretlint,0.0,0.0,6,1
selfxyz/self,0.14285714285714285,0.0,63,7
sequinstream/sequin,0.0,0.0,12,3
serverpod/serverpod,0.0,0.0,1,1
shopware/shopware,0.0,0.0,11,6
simonw/llm,0.0,0.0,2,2
simonw/tools,0.5,0.0,12,1
skypilot-org/skypilot,0.0,0.0,8,2
sooperset/mcp-atlassian,0.0,0.0,1,1
spcl/dace,0.0,0.0,9,6
stack-auth/stack-auth,0.0,0.0625,42,32
stackblitz-labs/bolt.diy,0.0,0.0,2,1
stanford-crfm/levanter,0.0,0.0,71,2
stanfordnlp/dspy,0.0,0.0,10,8
strapi/documentation,0.0,0.0,2,1
strapi/strapi,0.0,0.0,1,1
supabase/etl,0.0,0.0,1,1
syedazharmbnr1/claude-chatgpt-mcp,0.0,0.0,2,1
syntasso/kratix,0.0,0.0,13,6
syntaxfm/website,0.0,0.0,1,1
synth-inc/onit,0.0,0.0,17,13
tact-lang/tact,0.0,0.0,2,1
tegnike/aituber-kit,0.0,0.0,21,13
temporalio/temporal,0.0,0.0,13,6
test-zeus-ai/testzeus-hercules,0.0,0.0,3,2
thedevdojo/wave,0.0,0.0,2,2
thirdweb-dev/js,0.025,0.0,40,1
timburgan/timburgan,0.0,0.0,10,1
tinygrad/tinygrad,0.0,0.0,10,6
tinyplex/tinybase,0.0,0.0,4,1
tldraw/tldraw,0.047619047619047616,0.0,21,10
toeverything/AFFiNE,0.0,1.0,1,1
tokens-studio/figma-plugin,0.35555555555555557,0.5,45,22
tommyxchow/frosty,0.0,0.0,1,1
tonybaloney/CSnakes,0.0,0.0,3,2
traccar/traccar,0.0,0.0,4,3
traccar/traccar-web,0.0,0.0,3,2
triggerdotdev/trigger.dev,0.3333333333333333,0.0,3,1
trycompai/comp,0.06666666666666667,0.125,30,16
