lang_bucket,stars_bin,created_year,n_ai_in_bucket,n_candidates_returned
Clojure,1000+,2015,1,7
Clojure,1000+,2024,1,0
Clojure,200-499,2024,1,5
CodeQL,1000+,2018,1,0
ColdFusion,200-499,2011,1,0
Common Lisp,200-499,2024,1,1
Lua,100-199,2017,1,89
Lua,100-199,2023,1,99
Lua,100-199,2024,1,99
Lua,1000+,2018,1,9
Lua,1000+,2019,1,17
Lua,1000+,2023,1,24
Lua,1000+,2024,1,22
Lua,200-499,2016,1,70
Kotlin,200-499,2017,1,99
Kotlin,200-499,2018,1,100
Kotlin,200-499,2019,1,99
Kotlin,200-499,2023,1,99
Kotlin,500-999,2020,1,100
Kotlin,500-999,2021,1,67
Kotlin,500-999,2022,1,71
Less,100-199,2023,1,0
Kotlin,100-199,2021,1,99
Kotlin,100-199,2022,1,99
Kotlin,1000+,2016,1,68
Kotlin,1000+,2018,1,68
Kotlin,1000+,2022,1,73
Kotlin,1000+,2023,1,66
Kotlin,1000+,2024,1,33
Kotlin,200-499,2016,1,86
Jupyter Notebook,1000+,2025,1,46
Jupyter Notebook,200-499,2016,1,100
Jupyter Notebook,200-499,2017,1,100
Jupyter Notebook,200-499,2020,1,100
Jupyter Notebook,200-499,2023,1,100
Jupyter Notebook,500-999,2025,1,50
Kotlin,100-199,2012,1,6
Kotlin,100-199,2014,1,18
Mustache,500-999,2016,1,0
Mustache,500-999,2020,1,4
Nextflow,200-499,2018,1,4
Nim,1000+,2025,1,0
Nushell,500-999,2024,1,0
OCaml,1000+,2017,1,3
OCaml,200-499,2020,1,8
Objective-C,100-199,2019,1,82
Makefile,100-199,2020,1,37
Makefile,200-499,2015,1,21
Markdown,100-199,2019,1,6
Markdown,1000+,2015,1,3
Mathematica,200-499,2018,1,3
Mojo,1000+,2023,1,1
MoonBit,500-999,2024,1,0
Move,500-999,2023,1,0
MDX,100-199,2022,1,16
MDX,100-199,2023,1,18
MDX,100-199,2024,1,20
MDX,1000+,2020,1,10
MDX,1000+,2021,1,6
MDX,200-499,2015,1,4
MLIR,1000+,2014,1,0
Makefile,100-199,2015,1,25
Lua,200-499,2020,1,74
Lua,200-499,2021,1,99
Lua,200-499,2024,1,78
Lua,500-999,2014,1,11
Luau,200-499,2016,1,0
MATLAB,200-499,2016,1,32
MATLAB,500-999,2018,1,7
MDX,100-199,2019,1,12
JavaScript,200-499,2015,1,100
PHP,100-199,2013,1,100
PHP,100-199,2021,1,100
PHP,100-199,2022,1,100
PHP,100-199,2023,1,99
PHP,100-199,2025,1,99
PHP,1000+,2009,1,25
PHP,1000+,2010,1,51
Julia,200-499,2019,1,35
Julia,200-499,2021,1,16
JavaScript,100-199,2015,1,100
JavaScript,1000+,2010,1,99
JavaScript,1000+,2012,1,99
JavaScript,1000+,2022,1,99
JavaScript,200-499,2013,1,100
JavaScript,200-499,2014,1,100
JetBrains MPS,200-499,2025,1,0
Jsonnet,500-999,2017,1,0
Julia,100-199,2022,1,27
Julia,100-199,2023,1,16
Julia,1000+,2011,1,0
Julia,1000+,2020,1,4
Julia,1000+,2021,1,1
Julia,200-499,2018,1,31
Objective-C,1000+,2015,1,99
PHP,100-199,2011,1,100
JavaScript,500-999,2013,1,99
JavaScript,500-999,2015,1,100
JavaScript,500-999,2016,1,100
JavaScript,500-999,2017,1,100
JavaScript,500-999,2019,1,100
JavaScript,500-999,2023,1,100
PowerShell,200-499,2021,1,43
PowerShell,200-499,2023,1,39
PowerShell,200-499,2024,1,20
PowerShell,500-999,2016,1,13
PowerShell,500-999,2018,1,27
Python,100-199,2009,1,99
Python,100-199,2011,1,100
Python,100-199,2014,1,100
PowerShell,100-199,2024,1,39
PowerShell,100-199,2025,1,34
PowerShell,1000+,2014,1,6
PowerShell,1000+,2018,1,21
PowerShell,1000+,2019,1,18
PowerShell,1000+,2020,1,29
PowerShell,1000+,2025,1,5
PowerShell,200-499,2015,1,51
PHP,500-999,2009,1,15
PHP,500-999,2011,1,50
PHP,500-999,2015,1,99
PHP,500-999,2022,1,36
PLpgSQL,1000+,2017,1,0
Perl,200-499,2008,1,1
PowerShell,100-199,2015,1,37
PowerShell,100-199,2021,1,58
PHP,1000+,2014,1,99
PHP,1000+,2016,1,100
PHP,1000+,2017,1,99
PHP,200-499,2016,1,99
PHP,200-499,2017,1,100
PHP,200-499,2020,1,99
PHP,200-499,2021,1,99
PHP,200-499,2023,1,99
HTML,200-499,2024,1,100
HTML,200-499,2025,1,99
HTML,500-999,2013,1,79
HTML,500-999,2019,1,99
HTML,500-999,2023,1,60
HTML,500-999,2024,1,48
HTML,500-999,2025,1,46
Handlebars,100-199,2017,1,6
JavaScript,100-199,2013,1,99
Python,100-199,2026,1,100
Python,1000+,2009,1,51
Python,200-499,2009,1,89
Python,200-499,2012,1,100
Python,200-499,2015,1,100
Python,200-499,2016,1,100
HTML,200-499,2017,1,100
Java,500-999,2012,1,99
Java,500-999,2013,1,99
Java,500-999,2014,1,99
Java,500-999,2019,1,100
Java,500-999,2021,1,99
Java,500-999,2022,1,74
Java,500-999,2023,1,85
Java,500-999,2025,1,25
Java,1000+,2015,1,99
Java,1000+,2018,1,99
Java,1000+,2022,1,84
Java,200-499,2011,1,99
Java,200-499,2018,1,100
Java,200-499,2019,1,100
Java,200-499,2024,1,97
Java,500-999,2011,1,84
Ruby,100-199,2015,1,99
Go,500-999,2018,1,99
Go,500-999,2026,1,43
HCL,100-199,2019,1,33
HCL,100-199,2025,1,2
HCL,1000+,2021,1,7
HCL,500-999,2018,1,8
HCL,500-999,2020,1,8
R,100-199,2024,1,15
R,100-199,2025,1,11
R,200-499,2020,1,51
R,500-999,2015,1,20
RPM Spec,1000+,2020,1,0
ReScript,200-499,2024,1,1
Ruby,100-199,2010,1,99
Ruby,100-199,2014,1,100
Java,100-199,2018,1,100
Java,100-199,2019,1,99
Java,100-199,2020,1,100
Java,100-199,2022,1,99
Python,200-499,2026,1,100
Python,500-999,2015,1,100
QML,100-199,2019,1,10
R,100-199,2015,1,99
Handlebars,200-499,2019,1,4
Haskell,100-199,2010,1,22
Haskell,100-199,2011,1,28
Haskell,100-199,2019,1,37
Haskell,1000+,2015,1,10
Haskell,200-499,2023,1,1
Java,100-199,2010,1,99
Java,100-199,2017,1,100
Ruby,200-499,2018,1,70
Ruby,200-499,2019,1,63
Ruby,200-499,2021,1,33
Ruby,200-499,2022,1,29
Ruby,200-499,2024,1,27
Ruby,500-999,2012,1,99
Ruby,500-999,2014,1,92
Ruby,500-999,2015,1,61
Ruby,1000+,2009,1,99
Ruby,1000+,2011,1,99
Ruby,1000+,2012,1,99
Ruby,1000+,2020,1,17
Ruby,1000+,2024,1,2
Ruby,1000+,2025,1,4
Ruby,200-499,2012,1,100
Ruby,200-499,2017,1,84
HTML,1000+,2022,1,53
HTML,1000+,2023,1,63
HTML,200-499,2010,1,22
HTML,200-499,2014,1,100
Ruby,100-199,2017,1,99
Ruby,100-199,2018,1,99
Ruby,100-199,2020,1,80
Ruby,100-199,2022,1,50
HTML,100-199,2015,1,99
HTML,100-199,2017,1,100
HTML,100-199,2020,1,100
HTML,100-199,2021,1,100
HTML,100-199,2022,1,99
HTML,100-199,2023,1,100
HTML,1000+,2012,1,67
HTML,1000+,2019,1,98
Emacs Lisp,100-199,2016,1,37
Emacs Lisp,200-499,2013,1,40
Erlang,1000+,2009,1,3
Erlang,1000+,2017,1,3
Erlang,200-499,2020,1,2
F#,1000+,2013,1,2
F#,1000+,2015,1,0
F#,500-999,2018,1,1
Dockerfile,100-199,2018,1,46
Dockerfile,1000+,2015,1,6
Dockerfile,1000+,2019,1,12
Elixir,100-199,2018,1,27
Elixir,1000+,2020,1,5
Elixir,1000+,2024,1,9
Elixir,200-499,2018,1,37
Emacs Lisp,100-199,2010,1,15
Go,200-499,2015,1,99
Go,200-499,2017,1,100
Go,200-499,2024,1,99
Go,500-999,2014,1,99
Dart,200-499,2025,1,44
Dart,500-999,2017,1,14
Dart,500-999,2018,1,68
Dart,500-999,2023,1,29
Ruby,500-999,2016,1,46
Ruby,500-999,2020,1,23
Ruby,500-999,2023,1,9
Ruby,500-999,2025,1,9
Rust,100-199,2013,1,14
Rust,100-199,2018,1,100
Go,1000+,2012,1,58
Go,1000+,2017,1,99
Shell,200-499,2014,1,99
Shell,200-499,2019,1,100
Shell,200-499,2024,1,98
Smarty,100-199,2022,1,3
Smarty,1000+,2016,1,0
Solidity,100-199,2021,1,56
Solidity,100-199,2024,1,29
Solidity,200-499,2024,1,8
Scala,200-499,2019,1,20
Scala,500-999,2016,1,20
Shell,100-199,2016,1,99
Shell,100-199,2022,1,100
Shell,100-199,2023,1,99
Shell,1000+,2010,1,17
Shell,1000+,2022,1,79
Shell,1000+,2023,1,72
Rust,500-999,2016,1,72
Rust,500-999,2017,1,69
Rust,500-999,2021,1,99
SCSS,100-199,2024,1,7
SCSS,1000+,2021,1,7
SCSS,200-499,2021,1,17
Scala,100-199,2024,1,5
Scala,1000+,2009,1,4
Fortran,200-499,2019,1,7
GAP,200-499,2022,1,0
Gherkin,200-499,2011,1,1
Go,100-199,2016,1,100
Rust,1000+,2020,1,99
Rust,200-499,2017,1,99
Rust,200-499,2018,1,99
Rust,200-499,2020,1,100
TypeScript,100-199,2015,1,100
C++,500-999,2016,1,100
C++,500-999,2017,1,100
C++,500-999,2023,1,99
CMake,1000+,2016,1,0
CSS,100-199,2020,1,100
CSS,100-199,2024,1,80
CSS,1000+,2014,1,57
Swift,1000+,2023,1,41
Swift,200-499,2014,1,97
Swift,200-499,2020,1,99
Swift,200-499,2023,1,98
Swift,200-499,2025,1,98
Swift,500-999,2016,1,100
Swift,500-999,2023,1,49
TeX,100-199,2024,1,28
Swift,100-199,2017,1,100
Swift,100-199,2018,1,100
Swift,100-199,2019,1,100
Swift,100-199,2021,1,99
Swift,100-199,2023,1,100
Swift,100-199,2025,1,100
Swift,1000+,2015,1,99
Swift,1000+,2018,1,99
Solidity,500-999,2019,1,2
Solidity,500-999,2023,1,8
Starlark,500-999,2018,1,0
Svelte,100-199,2021,1,37
Svelte,1000+,2017,1,2
Svelte,1000+,2024,1,11
Svelte,200-499,2021,1,25
Svelte,200-499,2024,1,19
Vue,200-499,2021,1,100
AL,200-499,2023,1,0
Vue,500-999,2018,1,55
Vue,500-999,2021,1,44
1C Enterprise,100-199,2022,1,2
Zig,100-199,2023,1,20
Zig,100-199,2025,1,26
Bicep,200-499,2023,1,1
Vim Script,1000+,2012,1,20
Vim Script,1000+,2016,1,20
Vim Script,500-999,2022,1,0
Vue,100-199,2019,1,99
Vue,1000+,2017,1,60
AngelScript,500-999,2024,1,0
ActionScript,1000+,2009,1,1
Vue,200-499,2020,1,99
C#,100-199,2025,1,100
TypeScript,1000+,2026,1,100
TypeScript,200-499,2012,1,35
Unknown,200-499,2024,1,96
Assembly,1000+,2019,1,3
Assembly,1000+,2017,1,4
AppleScript,100-199,2023,1,0
Apex,200-499,2017,1,0
C,500-999,2015,1,100
C,500-999,2018,1,100
C,500-999,2019,1,99
C,500-999,2022,1,99
C,500-999,2023,1,83
C,500-999,2025,1,37
C#,100-199,2013,1,100
C#,100-199,2015,1,100
Julia,500-999,2018,1,8
Jupyter Notebook,100-199,2015,1,99
Jupyter Notebook,100-199,2017,1,100
Jupyter Notebook,100-199,2020,1,100
Jupyter Notebook,100-199,2023,1,100
Jupyter Notebook,1000+,2017,1,99
Jupyter Notebook,1000+,2023,1,99
Jupyter Notebook,1000+,2024,1,98
Unknown,100-199,2020,1,100
Unknown,100-199,2024,1,100
Unknown,1000+,2018,1,94
Unknown,200-499,2016,1,100
Unknown,200-499,2017,1,100
Unknown,200-499,2019,1,100
Astro,500-999,2023,1,8
Julia,500-999,2017,1,9
C,1000+,2010,1,65
C,1000+,2012,1,99
C,1000+,2014,1,99
C,1000+,2018,1,99
C,1000+,2025,1,34
C,200-499,2016,1,100
C,200-499,2017,1,100
C,200-499,2021,1,100
Bicep,500-999,2022,1,0
Bicep,500-999,2024,1,0
C,100-199,2012,1,99
C,100-199,2013,1,99
C,100-199,2018,1,100
C,100-199,2021,1,100
C,100-199,2023,1,100
C,100-199,2025,1,100
